,ABEDUS,ABLABESMYIA,ACAMPTOCLADIUS,ACELLA,ACENTRELLA,ACRICOTOPUS,ACRONEURIA,ACTINOBDELLA,AESHNA,AESHNIDAE,AGABINAE,AGABUS,AGARODES,AGRAYLEA,AGRYPNIA,ALBIA,ALBOGLOSSIPHONIA,ALLONAIS,ALOTANYPUS,AMBRYSUS,AMERICOROPHIUM,AMNICOLA,AMPHINEMURA,AMPHIPODA,AMPITHOE,ANAFROPTILUM,ANAX,ANCYRONYX,ANODONTA,AORIDAE,APEDILUM,APHYLLA,APOCOROPHIUM,ARACHNIDA,ARCTEONAIS,ARGIA,ARGULUS,ARIGOMPHUS,ARMIGER,ARRENURUS,ASELLIDAE,ATRACTIDES,ATRICHOPOGON,ATYLOTUS/TABANUS,AULODRILUS,AXARUS,BAETIDAE,BANKSIOLA,BASIAESCHNA,BELOSTOMA,BELOSTOMATIDAE,BEOTHUKUS,BEROSUS,BEZZIA/PALPOMYIA,BILYJOMYIA,BIOMPHALARIA,BITHYNIA,BIVALVIA,BOREOCHLUS,BOYERIA,BRACHYCERCINAE,BRANCHIOBDELLIDAE,BRANCHIODRILUS,BRANCHIURA,BRATISLAVIA,BRILLIA,BRYCHIUS,CAECIDOTEA,CAENIDAE,CAENIS,CALLIBAETIS,CALOPTERYGIDAE,CALOPTERYX,CAMBARIDAE,CAMBARUS,CAMPELOMA,CAPITELLA,CAPNIIDAE,CASSIDINIDEA,CELINA,CELITHEMIS,CENTROLIMNESIA,CENTROPTILUM,CERACLEA,CERATOPOGONIDAE,CERATOPOGONINAE,CERNOTINA,CHAETOCLADIUS,CHAETOGASTER,CHAETOZONE,CHAOBORUS,CHAULIODES,CHAULIODINAE,CHELIFERA/METACHELA,CHEUMATOPSYCHE,CHIRONOMINI,CHIRONOMUS,CHLOROPERLIDAE,CHLOROTABANUS,CHOROTERPES,CHROMAGRION,CHRYSOMELIDAE,CHRYSOPS,CINCINNATIA,CIPANGOPALUDINA,CIRRATULIDAE,CLADOPELMA,CLADOTANYTARSUS,CLEPTELMIS,CLINOCERA,CLINOTANYPUS,CLOEON,COELOTANYPUS,COENAGRION/ENALLAGMA,COENAGRIONIDAE,COLEOPTERA,COLYMBETES,COLYMBETINAE,CONSTEMPELLINA,COPTOTOMUS,CORBICULA,CORDULIA,CORDULIIDAE,CORIXIDAE,COROPHIIDAE,CORYDALIDAE,CORYNONEURA,CORYPHAESCHNA,CRAMBIDAE,CRANGONYCTIDAE,CRANGONYX,CRICOTOPUS,CRICOTOPUS/ORTHOCLADIUS,CRYPTOCHIRONOMUS,CRYPTOTENDIPES,CUMACEA,CYATHURA,CYRNELLUS,CYZICUS,DASYHELEA,DECAPODA,DEMEIJEREA,DEMICRYPTOCHIRONOMUS,DENTATELLA,DERALLUS,DERO,DEROTANYPUS,DESDIMELITA,DESMOPACHRIA,DIACHLORUS,DIAMESA,DICRANOTA,DICROTENDIPES,DIDYMOPS,DINEUTUS,DIPLOCLADIUS,DIPTERA,DIXA,DIXELLA,DJALMABATISTA,DOLICHOPODIDAE,DOROCORDULIA,DREISSENA,DROMOGOMPHUS,DUBIRAPHIA,DYTISCIDAE,DYTISCUS,ECDYONURUS,ECTOPRIA,EINFELDIA,ELIMIA,ELLIPTIO,ELMIDAE,EMPIDIDAE,ENALLAGMA,ENCHYTRAEIDAE,ENDOCHIRONOMUS,ENOCHRUS,EOPARARGYRACTIS,EPHEMERA,EPHEMERELLA,EPHEMERELLIDAE,EPHEMERIDAE,EPHEMEROPTERA,EPHYDRIDAE,EPITHECA,EPOICOCLADIUS,ERIOPTERA,ERPOBDELLA,ERPOBDELLIDAE,ERYTHEMIS,EUKIEFFERIELLA,EUPERA,EURYLOPHELLA,EYLAIS,FABRIA,FERRISSIA,FICOPOMATUS,FITTKAUIMYIA,FORCIPOMYIA,FORELIA,FRONTIPODA,GALBA,GAMMARIDAE,GAMMARUS,GASTROPODA,GEAYIA,GLOSSIPHONIA,GLOSSIPHONIIDAE,GLYPHOPSYCHE,GLYPTOTENDIPES,GNORIMOSPHAEROMA,GOELDICHIRONOMUS,GOMPHIDAE,GOMPHUS,GRANDIDIERELLA,GUMAGA,GUTTIPELOPIA,GYRAULUS,GYRINIDAE,GYRINUS,HAEMONAIS,HAEMOPIS,HAGENIUS,HALACARIDAE,HALESOCHILA,HALIPLIDAE,HALIPLUS,HARNISCHIA,HEBETANCYLUS,HEDRIODISCUS/ODONTOMYIA,HELICHUS,HELICOPSYCHE,HELISOMA,HELIUS,HELOBDELLA,HELOCHARES,HELOPHORUS,HEMERODROMIA,HEPTAGENIIDAE,HESPEROCORIXA,HESPEROPHYLAX,HETERLIMNIUS,HETEROTANYTARSUS,HETEROTRISSOCLADIUS,HEXAGENIA,HIRUDINIDA,HYALELLA,HYDATICUS,HYDRA,HYDRACHNA,HYDRELLIA,HYDROBAENUS,HYDROCANTHUS,HYDROCHOREUTES,HYDROCOLUS,HYDRODROMA,HYDRODROMIDAE,HYDROPHILIDAE,HYDROPORINAE,HYDROPSYCHIDAE,HYDROPTILA,HYDROPTILIDAE,HYDROSMITTIA,HYDROVATUS,HYDRYPHANTES,HYDRYPHANTIDAE,HYGROBATES,HYGROTUS,HYPORHYGMA,ILYODRILUS,ISCHNURA,ISOCHAETIDES,ISOPODA,JUGA,KIEFFERULUS,KOENIKEA,KRENDOWSKIA,KRENDOWSKIIDAE,KRIBIODORUM,LABIOBAETIS,LABRUNDINIA,LACCOBIUS,LACCOPHILUS,LADONA,LAEVAPEX,LARSIA,LAUTERBORNIELLA,LEBERTIA,LEPIDOPTERA,LEPIDOSTOMA,LEPTOCERIDAE,LEPTOCERUS,LEPTOCHELIA,LEPTOPHLEBIA,LEPTOPHLEBIIDAE,LESTES,LESTIDAE,LETHOCERUS,LEUCORRHINIA,LEUCROCUTA,LEUCTRA,LIBELLULA,LIBELLULIDAE,LIBELLULIDAE/CORDULIIDAE,LIMNEPHILIDAE,LIMNEPHILUS,LIMNESIA,LIMNOCHARES,LIMNODRILUS,LIMNOPHYES,LIMONIA,LIODESSUS,LIPINIELLA,LIRCEUS,LITTORIDINOPS,LUMBRICINA,LUMBRICULIDAE,LUMBRICULUS,LYMNAEA,LYMNAEIDAE,LYOGYRUS,LYPE,MACCAFFERTIUM,MACROBDELLA,MACROMIA,MACROMIIDAE,MACRONYCHUS,MACROPELOPIA,MACROPELOPIINI,MANAYUNKIA,MARGARITIFERA,MARILIA,MARSTONIA,MELANOIDES,MENETUS,MICRASEMA,MICROCHIRONOMUS,MICROCYLLOEPUS,MICROMENETUS,MICROPSECTRA,MICROTENDIPES,MIDEA,MIDEOPSIS,MOLANNA,MOLANNIDAE,MOMONIA,MONATRACTIDES,MONOCOROPHIUM,MONODIAMESA,MUSCIDAE,MUSCULISTA,MUSCULIUM,MYSIDAE,MYSTACIDES,MYTILIDAE,MYXOSARGUS,NAIDIDAE,NAIS,NANOCLADIUS,NATARSIA,NAUCORIDAE,NECTOPSYCHE,NEMATODA,NEMOTAULIUS,NEOCLOEON,NEOMYSIS,NEOPLEA,NEOPORUS,NEOSTEMPELLINA,NEOZAVRELIA,NEUMANIA,NEURECLIPSIS,NEUROCORDULIA,NIGRONIA,NILOTHAUMA,NIPPOLEUCON,NO_MACROINVERTEBRATES_IN_SAMPLE,NOTERIDAE,NYCTIOPHYLAX,OCHTHEBIUS,ODONATA,ODONTOMESA,OECETIS,OMISUS,OPHIDONAIS,OPHIOGOMPHUS,OPTIOSERVUS,ORCONECTES,ORTHEMIS,ORTHOCLADIINAE,ORTHOCLADIUS,ORTHOTRICHIA,OSTRACODA,OULIMNIUS,OXUS,OXYETHIRA,PACHYDIPLAX,PACIFASTACUS,PAGASTIELLA,PALAEMON,PALAEMONETES,PALAEMONIDAE,PARACHAETOCLADIUS,PARACHIRONOMUS,PARACLADIUS,PARACLADOPELMA,PARAKIEFFERIELLA,PARALAUTERBORNIELLA,PARALEPTOPHLEBIA,PARAMETRIOCNEMUS,PARANAIS,PARAPHAENOCLADIUS,PARAPOYNX,PARATANYTARSUS,PARATENDIPES,PAROCHLUS,PEDICIA,PELOCORIS,PELTODYTES,PENTANEURINI,PERICOMA/TELMATOSCOPUS,PERITHEMIS,PERLINELLA,PERLODIDAE,PETROPHILA,PHAENOPSECTRA,PHILARCTUS,PHRYGANEA,PHRYGANEIDAE,PHYLOCENTROPUS,PHYSA,PHYSIDAE,PIONA,PIONACERCUS,PIONIDAE,PIONOPSIS,PISIDIUM,PLACOBDELLA,PLANORBELLA,PLANORBIDAE,PLANORBULA,PLATHEMIS,PLATYISCHNOPIDAE,PLEIDAE,PLEUROCERA,PLEUROCERIDAE,POLYCELIS,POLYCENTROPODIDAE,POLYCENTROPUS,POLYDORA,POLYPEDILUM,POTAMILUS,POTAMOPYRGUS,POTAMOTHRIX,POTTHASTIA,PRISTINA,PROBEZZIA,PROBYTHINELLA,PROCLADIUS,PROCLOEON,PRODIAMESA,PROMENETUS,PROMORESIA,PROSTOMA,PROTANYPUS,PSAMMORYCTIDES,PSECTROCLADIUS,PSECTROTANYPUS,PSEPHENUS,PSEUDOCHIRONOMUS,PSEUDODIAMESA,PSEUDOSMITTIA,PSEUDOSUCCINEA,PSEUDOTRYONIA,PSYCHODA,PSYCHODIDAE,PSYCHOGLYPHA,PSYCHOMYIIDAE,PTILOSTOMIS,PYCNOPSYCHE,PYRGOPHORUS,QUISTADRILUS,QUISTRADRILUS,RADIX,RADOTANYPUS,RAMELLOGAMMARUS,RANATRA,RHANTUS,RHEOCRICOTOPUS,RHEOTANYTARSUS,RHYACODRILUS,RHYACOPHILA,RIPISTES,SAETHERIA,SANFILIPPODYTES,SCIOMYZIDAE,SCIRTIDAE,SERGENTIA,SERICOSTOMATIDAE,SIALIS,SIMULIUM,SINELOBUS,SIPHLONURIDAE,SIPHLONURUS,SISYRA,SISYRIDAE,SLAVINA,SMITTIA,SOMATOCHLORA,SPARBARUS,SPECARIA,SPERCHON,SPHAERIIDAE,SPHAERIUM,SPHAEROMATIDAE,SPHAEROMIAS,SPHAEROSYLLIS,SPIOPHANES,SPIROSPERMA,STAGNICOLA,STEMPELLINA,STEMPELLINELLA,STENACRON,STENELMIS,STENOCHIRONOMUS,STENONEMA,STICTOCHIRONOMUS,STICTOTARSUS,STRATIOMYIDAE,STRATIOMYS,STYLARIA,SUPHISELLUS,SWELTSA,SYLLIS,SYMPETRUM,SYNORTHOCLADIUS,TABANIDAE,TANYPODINAE,TANYPUS,TANYTARSINI,TANYTARSUS,TAPHROMYSIS,TASSERKIDRILUS,TELOGANOPSIS,TESTUDACARUS,THEROMYZON,THIENEMANNIELLA,THIENEMANNIMYIA GENUS GR.,TIPHYS,TIPULA,TIPULIDAE,TORRENTICOLA,TORRENTICOLIDAE,TOXOLASMA,TRAMEA,TRIAENODES,TRIBELOS,TRICHOPTERA,TRICORYTHODES,TROMBIDIFORMES,TROPISTERNUS,TRYONIA,TUBIFEX,TUBIFICIDAE,TURBELLARIA,TVETENIA,UNCINAIS,UNIONICOLA,UNIONICOLIDAE,UNIONIDAE,UNIONOIDA,UROMUNNA,UTTERBACKIA,VALVATA,VEJDOVSKYELLA,VENEROIDA,VIVIPARIDAE,VIVIPARUS,VORTICIFEX,WAYNOKIOPS,WETTINA,XENOCHIRONOMUS,XYLOTOPUS,YORAPERLA,ZALUTSCHIA,ZAVRELIELLA,ZAVRELIMYIA
NLA17_AR-10003,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,1,25,,,,,,,,,,1,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,,,,,,1,,,,42,77,,,6,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,4,1,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,3,,3,,,,,,,,,1,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,13,,,,,1,,,48,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,12,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,113,
NLA17_AR-10004,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,49,,,,,,,,,,,,,,13,,,,,,,,,,,2,,,,,27,,,,,,,,,,,,,,,5,21,,,,,,,,,,5,17,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,13,,,,,2,,,,,,10,,,,,,,45,,,,,,,,,,,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,19,,,,,,,24,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,36,,,,,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,4,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,27,,,,,,,,16,,,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,67,
NLA17_AR-10014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,22,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,4,,40,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,
NLA17_AR-10016,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,10,,,,,3,,,,,,,4,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,
NLA17_AR-10021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,,,,,,,,,6,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,165,,,,,,,,,,,2,,,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,14,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,
NLA17_AR-10022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
NLA17_AR-HP001,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,13,11,,,,2,,,,,,,25,,,,,36,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,170,,,2,,2,,9,,,,,,,,1,,,,,,,,22,,1,4,5,,,,,,,,,,,19,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,15,,,,,,,,,,12,,12,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,23,,,,,,,,32,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,5,
NLA17_AZ-10001,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,22,3,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,66,,,,,,,,5,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,5,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLA17_AZ-10002,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,9,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,10,,,,,1,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,179,,,,,,,,45,4,,,,,,,,,,,,,,,,,,,16,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLA17_AZ-10003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,13,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,1,,,,,,,,166,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
NLA17_AZ-10004,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,,,,,,,1,,,,,,,18,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,33,,,1,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,50,,,,,,,,,,,,,,,,,96,,34,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLA17_AZ-10005,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,8,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,47,12,1,1,,,,,,,,,,,,,,,,,,315,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLA17_AZ-10006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,7,,,,,,,3,,,,,,,,,,,,,,,,,,,13,,,,,,,,10,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
